SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily River Water Discharge (m3/sec)
19,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,07-09-2001 08:00,0.6975247
20,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,08-09-2001 08:00,0.6975247
21,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,09-09-2001 08:00,1.2866288
22,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,10-09-2001 08:00,0.18606547
23,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,11-09-2001 08:00,0.6975247
24,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,12-09-2001 08:00,0.33672118
25,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,13-09-2001 08:00,0.13580523
26,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,14-09-2001 08:00,0.112490654
27,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,15-09-2001 08:00,0.13580523
28,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,16-09-2001 08:00,0.37736732
29,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,17-09-2001 08:00,0.21505025
30,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,18-09-2001 08:00,0.4635847
31,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,19-09-2001 08:00,0.5089296
32,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,20-09-2001 08:00,0.21505025
33,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,21-09-2001 08:00,0.18606547
34,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,22-09-2001 08:00,0.18606547
35,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,25-09-2001 08:00,0.18606547
36,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,26-09-2001 08:00,0.13580523
37,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,27-09-2001 08:00,0.21505025
38,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,28-09-2001 08:00,0.4635847
39,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,29-09-2001 08:00,0.5089296
40,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,30-09-2001 08:00,1.2866288
41,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,01-10-2001 08:00,47.22126
42,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,02-10-2001 08:00,80.13949
43,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,03-10-2001 08:00,82.13584
44,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,04-10-2001 08:00,26.96014
45,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,05-10-2001 08:00,16.911364
46,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,06-10-2001 08:00,4.0098424
47,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,07-10-2001 08:00,4.0098424
48,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,08-10-2001 08:00,4.3138704
49,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,09-10-2001 08:00,1.7076112
50,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,10-10-2001 08:00,0.09086061
51,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,11-10-2001 08:00,0.038511384
52,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,12-10-2001 08:00,0.09086061
53,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,13-10-2001 08:00,0.13580523
54,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,14-10-2001 08:00,0.41963607
55,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,15-10-2001 08:00,0.4635847
56,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,16-10-2001 08:00,1.0574102
57,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,17-10-2001 08:00,1.8003548
58,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,18-10-2001 08:00,1.2063773
59,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,19-10-2001 08:00,1.0574102
60,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,20-10-2001 08:00,0.015971767
61,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,31-10-2001 08:00,0.18606547
62,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,01-11-2001 08:00,0.18606547
63,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,02-11-2001 08:00,0.1597022
64,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,03-11-2001 08:00,0.112490654
65,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,04-11-2001 08:00,0.4635847
66,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,05-11-2001 08:00,0.37736732
67,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,06-11-2001 08:00,0.41963607
68,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,07-11-2001 08:00,0.7571064
69,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,08-11-2001 08:00,0.8183377
70,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,09-11-2001 08:00,0.881166
71,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,10-11-2001 08:00,3.717067
72,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,11-11-2001 08:00,6.3971634
73,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,12-11-2001 08:00,8.227422
74,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,13-11-2001 08:00,4.823054
75,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,14-11-2001 08:00,3.0952408
76,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,15-11-2001 08:00,0.8183377
77,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,16-11-2001 08:00,0.21505025
78,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,17-11-2001 08:00,0.054462675
79,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,18-11-2001 08:00,0.011293879
80,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,27-08-2002 08:00,0.065104395
81,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,28-08-2002 08:00,1.1556832
82,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,29-08-2002 08:00,3.200635
83,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,30-08-2002 08:00,4.009146
84,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,31-08-2002 08:00,4.4026346
85,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,01-09-2002 08:00,4.4026346
86,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,02-09-2002 08:00,4.2657814
87,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,03-09-2002 08:00,4.4026346
88,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,04-09-2002 08:00,3.6598272
89,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,05-09-2002 08:00,3.4261203
90,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,06-09-2002 08:00,3.200635
91,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,07-09-2002 08:00,3.200635
92,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,08-09-2002 08:00,1.5483924
93,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,09-09-2002 08:00,1.6189138
94,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,10-09-2002 08:00,1.6908257
95,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,11-09-2002 08:00,1.9149188
96,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,12-09-2002 08:00,2.4801528
97,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,13-09-2002 08:00,2.5744112
98,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,14-09-2002 08:00,2.5744112
99,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,15-09-2002 08:00,1.0972878
100,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,16-09-2002 08:00,0.9785585
101,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,17-09-2002 08:00,1.1556832
102,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,18-09-2002 08:00,1.5483924
103,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,19-09-2002 08:00,1.6908257
104,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,20-09-2002 08:00,1.8375307
105,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,21-09-2002 08:00,1.2831683
106,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,22-09-2002 08:00,1.1556832
107,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,23-09-2002 08:00,2.4801528
108,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,24-09-2002 08:00,3.200635
109,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,25-09-2002 08:00,4.2657814
110,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,26-09-2002 08:00,5.198587
111,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,27-09-2002 08:00,5.6574836
112,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,28-09-2002 08:00,5.9648104
113,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,29-09-2002 08:00,4.2657814
114,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,30-09-2002 08:00,2.4801528
115,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,01-10-2002 08:00,2.2985573
116,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,02-10-2002 08:00,2.1217892
117,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,03-10-2002 08:00,0.30721593
118,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,04-10-2002 08:00,0.33728197
119,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,05-10-2002 08:00,3.541988
120,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,06-10-2002 08:00,3.200635
121,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,07-10-2002 08:00,3.4261203
122,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,08-10-2002 08:00,3.7741044
123,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,09-10-2002 08:00,1.0373627
124,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,10-10-2002 08:00,7.566423
