asset_id,asset_code,asset_name,asset_type,document_id,source_id,evidence_id,completion_year,commencement_year,dam_height_m,dam_length_m,dam_volume_source_value,gate_count,gate_size_raw,gate_type,design_flood_source_value,spillway_capacity_source_value,spillway_level_m,spillway_length_m,spillway_type,river_name,dam_type,seismic_zone,registry_status,nrld_no,structure_code,nearest_city,operating_agency,authority_level,origin,quality_flag,confidence_score,is_official,is_derived,has_direct_hydrology,age_years,engineering_fields_available,engineering_completeness
32,AP_DAM_WRIS_AP01MH0072,Andhra Dam,dam,1,103,11,1998.0,,22.0,1890.0,,4.0,10.0 x 7.50,RD,1189.3074465,910.0,138.5,,,Champavathi,TE,Seismic Zone-II,Completed,AP01MH0072,D01848,Gajapatinagaram,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,28.0,10,1.0
33,AP_DAM_WRIS_AP01MH0129,Cheyyeru / Annamayya Dam,dam,1,103,12,2003.0,,25.0,409.0,653.0,5.0,13.75 x 14,RD,6795.0,8069.0,189.6,90.25,OG,Cheyyeru,TE,Seismic Zone-II,Completed,AP01MH0129,D01855,Rajampet,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,23.0,10,1.0
34,AP_DAM_WRIS_AP01MH0021,Arniar Dam,dam,1,103,13,1958.0,,15.0,3600.0,,3.0,9.15 x 3.20,LG,863.67,863.67,76.2,,OG,Araniar,TE,Seismic Zone-III,Completed,AP01MH0021,D01858,Satyavedu,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,True,68.0,10,1.0
35,AP_DAM_WRIS_AP01HH0127,Bahuda Dam,dam,1,103,14,1974.0,,31.77,792.48,,6.0,125.192 x 2.438,LG,849.5,849.5,611.7,,,Bahuda,TE,Seismic Zone-II,Completed,AP01HH0127,D01861,Madanapalle,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,True,52.0,10,1.0
36,AP_DAM_WRIS_AP01MH0018,Bhairavanithippa Dam,dam,1,103,15,1961.0,,20.0,2235.0,,12.0,12.192 x 4.572,LG,3635.0,3635.0,499.89,,OG,Pedda Hagari(Vedavathi) River,TE,Seismic Zone-II,Completed,AP01MH0018,D01875,Rayadurg,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,True,65.0,10,1.0
37,AP_DAM_WRIS_D01879,Bhupathipalem Dam,dam,1,103,16,,,,748.0,,5.0,1.2 x 2.0,,1642.0,1642.0,196.5,66.0,,Seethapallivagu,,Seismic Zone-II,Completed,,D01879,Rampa Chodavaram,,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,,7,0.7
38,AP_DAM_WRIS_AP01MH0073,Buggavanka Dam,dam,1,103,17,1998.0,,26.0,2060.0,747.0,4.0,12x6,RD,929.0,926.0,180.0,,OG,Buggavanka,TE + PG,Seismic Zone-II,Completed,AP01MH0073,D01888,Cuddapah,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,28.0,10,1.0
39,AP_DAM_WRIS_AP01MH0026,Chinnarayaswamy Gudi /Chennaraya Dam,dam,1,103,18,1969.0,,15.0,465.0,,,,LG,897.64,897.64,582.77935766,,,Papagni,TE,Seismic Zone-II,Completed,AP01MH0026,D01908,Kadiri,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,57.0,9,0.9
40,AP_DAM_WRIS_AP01MH0001,Cumbum Dam,dam,1,103,19,,,15.38,295.65,,,,,112.72,113.0,,,,Gundlakamma & Jampaleru,TE,Seismic Zone-II,Completed,AP01MH0001,D01915,Giddalur,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,,7,0.7
41,AP_DAM_WRIS_D01773,Ahobilam / Penna Ahobilam (Dr. K.S.P.A.B.R.) Dam,dam,1,103,20,1994.0,,46.0,2060.0,865.0,7.0,12.20 x 8.65,RD,4596.0,4662.0,423.0,103.54,,Pennar,TE,Seismic Zone-II,Completed,,D01773,Rayadurg,,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,32.0,10,1.0
42,AP_DAM_WRIS_AP01MH0004,Mopadu Dam,dam,1,103,22,1921.0,,28.0,2630.0,401.0,,457 x 1.35,OT,1922.0,1923.0,110.15,1670.0,,Manneru,TE,Seismic Zone-II,Completed,AP01MH0004,D02184,Kanigiri,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,105.0,9,0.9
43,AP_DAM_WRIS_AP01HH0137,Musurumilli /Musurmilli Dam,dam,1,103,23,,,33.0,1040.0,,7.0,10  x 7.5,OT,2944.0,2944.0,115.5,86.5,OG,Seethapallivagu,TE + PG,Seismic Zone-II,Under Construction,AP01HH0137,D02195,Rampa Chodavaram,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,,9,0.9
44,AP_DAM_WRIS_D02198,Narayanapuram Dam,dam,1,103,24,,,,,,,,,,,,,,Nagavali,,Seismic Zone-II,,,D02198,Palakonda,,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,,2,0.2
45,AP_DAM_WRIS_AP01MH0046,Pampa Dam,dam,1,103,25,1969.0,1964.0,15.0,1128.0,,5.0,12.2 x 5.33,LG,1400.0,1400.0,26.82,,OG,Pampa,TE + PG,Seismic Zone-II,Completed,AP01MH0046,D02204,Prathipadu,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,57.0,10,1.0
46,AP_DAM_WRIS_AP01MH0140,Peddagedda Dam,dam,1,103,26,,,24.0,2430.0,,3.0,12 x 8,RD,1395.0,1395.0,207.0,36.0,OG,Peddagedda,TE,Seismic Zone-II,Under Construction,AP01MH0140,D02205,Salur,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,,9,0.9
47,AP_DAM_WRIS_AP01MH0016,Pincha Dam,dam,1,103,28,1960.0,,21.0,486.0,150.0,3.0,12.2 x 4.57,LG,1643.0,1644.0,297.26,,,Pincha,TE + PG,Seismic Zone-II,Completed,AP01MH0016,D02216,Rayachoti,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,66.0,10,1.0
48,AP_DAM_WRIS_AP01MH0047,Gajuladinne (Sanjeevaiah Sagar) Dam,dam,1,103,29,1979.0,,19.0,4400.0,,6.0,12 x 7.35,LG,2265.0,2267.0,371.0,,OG,Handri,TE,Seismic Zone-II,Completed,AP01MH0047,D01946,Pattikonda,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,47.0,10,1.0
49,AP_DAM_WRIS_AP01MH0063,Gandipalem /Pcr Gandipalem Dam,dam,1,103,30,1981.0,,21.0,388.0,815.0,4.0,12.2 x 7.9,LG,1656.5353718,1658.0,140.21,,OG,Pillaperu,TE + PG,Seismic Zone-II,Completed,AP01MH0063,D01951,Udayagiri,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,45.0,10,1.0
50,AP_DAM_WRIS_AP01MH0053,Raiwada Dam,dam,1,103,31,1981.0,,28.0,5750.0,2360.0,10.0,12.20x4.20,LG,1897.2285455,1897.0,110.0,,OG,Sarada,TE,Seismic Zone-II,Completed,AP01MH0053,D02223,Chodavaram,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,45.0,10,1.0
51,AP_DAM_WRIS_AP01LH0013,Rallapadu Dam,dam,1,103,32,1958.0,1950.0,13.85,2951.0,,15.0,10 -12.19 x 4.57 and 5 -12.19 x 7.62,RD,7943.1579001,3426.0,115.0,,OG,Manneru,TE,Seismic Zone-III,Completed,AP01LH0013,D02227,Kandukur,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,68.0,10,1.0
52,AP_DAM_WRIS_AP01HH0064,Jalleru Dam,dam,1,103,33,1992.0,,31.42,1790.0,1069.0,,12.00 x 7.20,RD,339.8,348.0,210.6,,,Jalleru,TE + PG,Seismic Zone-III,Completed,AP01HH0064,D01964,Polavaram,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,34.0,9,0.9
53,AP_DAM_WRIS_AP01HH0132,Jhanjhavathi / Janjavathi Dam,dam,1,103,34,,,34.0,4370.0,2919.0,6.0,12  x 11,RD,6200.0,3398.0,135.2,89.5,,Svarnamukhi Gomula,TE,Seismic Zone-II,Completed,AP01HH0132,D01971,Parvathipuram,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,,9,0.9
54,AP_DAM_WRIS_AP01MH0015,Kalangi Dam,dam,1,103,35,1960.0,,18.0,3977.0,,3.0,12.91 x 7.62,RD,1387.5253542,1389.0,,506.0,,Kalangi,TE,Seismic Zone-III,Completed,AP01MH0015,D01989,Sri Kalahasti,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,True,66.0,9,0.9
55,AP_DAM_WRIS_AP01MH0056,Konam Dam,dam,1,103,36,1980.0,,23.0,339.0,267.0,3.0,12.2 x 6,LG,1245.9411344,1260.0,95.25,296.0,OG,Pedol,TE,Seismic Zone-II,Completed,AP01MH0056,D02025,Chodavaram,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,46.0,10,1.0
56,AP_DAM_WRIS_D02041,Kovvadakalva Dam,dam,1,103,37,2004.0,,22.04,1630.0,,3.0,10.00  x 6.00,RD,17.84810675,630.0,84.5,35.5,,Kovvada kalva,TE,Seismic Zone-III,Completed,,D02041,Polavaram,,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,22.0,10,1.0
57,AP_DAM_WRIS_AP01MH0052,Krishnapuram (Chittor) Dam,dam,1,103,38,1981.0,,21.0,488.0,380.0,3.0,12.20x6.10,LG,1069.0,1077.0,207.0,,OG,Kaulasthali,TE,Seismic Zone-III,Completed,AP01MH0052,D02050,Puttur,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,45.0,10,1.0
58,AP_DAM_WRIS_D02086,Lower Sagileru Dam,dam,1,103,39,1959.0,,22.91,1905.0,,5.0,12.20x5.49,LG,123.46143968,,151.49,70.7,OG,Sagileru,TE,Seismic Zone-II,Completed,,D02086,Badvel,,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,67.0,9,0.9
59,AP_DAM_WRIS_AP01MH0078,Maddigedda Dam,dam,1,103,40,1981.0,,27.0,862.0,526.0,4.0,12.0x4.5,LG,962.77269475,969.0,183.5,,,Janjhavathi,TE,Seismic Zone-II,Completed,AP01MH0078,D02109,Ellavaram,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,45.0,10,1.0
60,AP_DAM_WRIS_AP01MH0075,Madduvalasa Dam,dam,1,103,41,2002.0,,16.0,2320.0,867.0,11.0,12.0 x 7.63,RD,5590.0,5595.0,57.37,159.5,OG,Maddigedda/Suvarnamukhi tributary of Nagavali,TE,Seismic Zone-II,Completed,AP01MH0075,D02113,Palakonda,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,24.0,10,1.0
61,AP_DAM_WRIS_AP01MH0017,Siddalagandi Dam,dam,1,103,42,1959.0,,12.0,1795.0,,,,UG,66.601217001,67.0,,,,Talakona,TE,Seismic Zone-III,Completed,AP01MH0017,D02244,Vayalpad,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,67.0,8,0.8
62,AP_DAM_WRIS_D02269,Surampalem Dam,dam,1,103,43,,,,,,,,,,,,,,Burada Kalva,,Seismic Zone-II,Completed,,D02269,Ellavaram,,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,,2,0.2
63,AP_DAM_WRIS_D02317,Kumili Dam,dam,1,103,44,,,,8450.0,,4.0,6 x 6,RD,,,,,OG,Champavathi,,Seismic Zone-II,,,D02317,Puspatirega,,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,,4,0.4
64,AP_DAM_WRIS_AP01MH0065,Thammileru Dam,dam,1,103,45,1980.0,1969.0,23.25,6400.0,2549.0,3.0,12.18  x 4.57,LG,736.23794304,736.0,103.63231256,,OG,Thammileru,TE,Seismic Zone-III,Completed,AP01MH0065,D02325,Tiruvuru,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,46.0,10,1.0
65,AP_DAM_WRIS_AP01HH0043,Thandava(Sri Raja Sagi Suryanarayana Raju (Srssr) Dam,dam,1,103,46,1974.0,,32.7,201.0,199.0,4.0,,LG,2124.0,1218.0,111.37,,OG,Thandava,TE,Seismic Zone-II,Completed,AP01HH0043,D02341,Narsipatnam,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,52.0,10,1.0
66,AP_DAM_WRIS_AP01HH0024,Thatipudi Dam,dam,1,103,47,1968.0,,37.0,585.0,,4.0,9.15 x 6.10,LG,1401.6837762,1513.0,84.43,,,Gosthani,TE + PG,Seismic Zone-II,Completed,AP01HH0024,D02344,Srungavarapukota,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,58.0,10,1.0
67,AP_DAM_WRIS_AP01MH0148,Varadaraja Swamy Gudi Dam,dam,1,103,49,2000.0,,22.0,588.0,,4.0,12.2 x 6.10,RD,1025.0697515,1025.0,363.9,,OG,Munimadugulavagu,TE,Seismic Zone-II,Completed,AP01MH0148,D02376,Atmakur,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,26.0,10,1.0
68,AP_DAM_WRIS_AP01MH0039,Varaha Dam,dam,1,103,50,1975.0,,25.0,1652.0,1019.0,6.0,10.668 x 1.8288,,523.29527644,523.0,138.329,,,Varaha,TE,Seismic Zone-II,Completed,AP01MH0039,D02383,Chodavaram,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,51.0,10,1.0
69,AP_DAM_WRIS_AP01HH0081,Veligallu Dam,dam,1,103,51,,,45.0,810.0,,4.0,12.00x11.00,RD,4273.0,4361.0,408.0,72.0,OG,Papagni,PG,Seismic Zone-II,Completed,AP01HH0081,D02492,Rayachoti,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,,9,0.9
70,AP_DAM_WRIS_AP01MH0069,Vengalaraya Sagar Dam,dam,1,103,52,1988.0,,21.0,1765.0,2707.0,4.0,12 x 6,RD,1416.0,2455.0,155.0,,OG,Suvrnamukhi,TE,Seismic Zone-II,Completed,AP01MH0069,D02497,Salur,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,38.0,10,1.0
71,AP_DAM_WRIS_AP01MH0030,Vottigadda Dam,dam,1,103,53,1976.0,1963.0,27.0,2152.0,301.0,4.0,12.4968 x 6.096,LG,1507.5887726,1509.0,115.52,,OG,Nagavalli,TE,Seismic Zone-II,Completed,AP01MH0030,D02508,Parvathipuram,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,50.0,10,1.0
72,AP_DAM_WRIS_AP01MH0076,Yerrakalva Dam,dam,1,103,54,1988.0,,19.79,2700.0,1500.0,4.0,12.00 x 5.00,LG,1370.5352478,1371.0,78.5,,OT,Yerrakalva,TE,Seismic Zone-III,Completed,AP01MH0076,D02647,Chintalapudi,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,38.0,10,1.0
73,AP_DAM_WRIS_AP01MH0074,Yogivemana Dam,dam,1,103,55,2001.0,1991.0,29.46,570.0,,11.0,12x6,RD,100.38321185,3545.0,377.0,,OG,Maddeleru River,TE + PG,Seismic Zone-II,Completed,AP01MH0074,D02659,Kadiri,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,True,25.0,10,1.0
74,AP_DAM_WRIS_AP01MH0022,Zurreru Dam,dam,1,103,56,1963.0,,16.0,677.0,199.0,2.0,12.192 x 24.384,OT,589.83985975,649.0,,,,Zurreru,TE,Seismic Zone-II,Completed,AP01MH0022,D02661,Banganapalle,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,True,63.0,9,0.9
75,AP_DAM_WRIS_D02672,Ghambiramgedda Dam,dam,1,103,57,1957.0,,13.0,369.0,173.0,,,,549.34677289,550.0,37.49051307,,,Gambhiramgedda,TE,Seismic Zone-II,Completed,,D02672,Bhimunipatnam,,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,69.0,9,0.9
76,AP_DAM_WRIS_AP01MH0010,Nakkalagandi Dam,dam,1,103,58,1958.0,,15.0,354.0,875.0,,,,934.56,340.0,113.39,,,Uppuvagu,TE,Seismic Zone-II,Completed,AP01MH0010,D03220,Udayagiri,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,68.0,9,0.9
77,AP_DAM_WRIS_D03507,Gundlamotu Dam,dam,1,103,59,,,16.0,605.0,,,,OT,,652.0,,,,,TE,Seismic Zone-II,,,D03507,Giddalur,,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,,5,0.5
78,AP_DAM_WRIS_AP01LH0096,Haresamudram Big Dam,dam,1,103,60,,,10.0,1264.0,,,,LG,,206.0,,,,,TE,Seismic Zone-II,,AP01LH0096,D03517,Madakasira,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,,5,0.5
79,AP_DAM_WRIS_AP01_0131,Hiramandalam Dam,dam,1,103,61,,,,200.0,,,,,,667.0,,,,Vamsadhara,TE + PG,Seismic Zone-II,Under Construction,AP01**0131,D03520,Pathapatnam,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,,5,0.5
80,AP_DAM_WRIS_AP01LH0051,Jalakanur Dam,dam,1,103,62,1981.0,,10.51,7200.0,,,,,,362.0,,,,Bodivagu,TE,Seismic Zone-II,Completed,AP01LH0051,D03566,Nandikotkur,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,45.0,7,0.7
81,AP_DAM_WRIS_AP01LH0084,Akkapalem Dam,dam,1,103,63,,,11.1,433.0,,,,,,,,,,,TE,Seismic Zone-III,,AP01LH0084,D03322,Tiruvuru,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,,4,0.4
82,AP_DAM_WRIS_AP01LH0085,Ananthasagarm Dam,dam,1,103,64,,,14.0,3500.0,,,,,,339.0,,,,Pennar,TE,Seismic Zone-II,,AP01LH0085,D03338,Atmakur,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,,6,0.6
83,AP_DAM_WRIS_AP01HH0019,Buggavagu Dam,dam,1,103,65,1961.0,,31.0,2576.0,1983.0,9.0,9.144 x 1.8288,OT,,567.0,,,,Buggavagu,TE,Seismic Zone-II,Completed,AP01HH0019,D03378,Guruzala,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,65.0,8,0.8
84,AP_DAM_WRIS_AP01LH0034,Bukkapatnam Dam,dam,1,103,66,1975.0,,14.0,6017.0,,,,,,567.0,,,,,TE,Seismic Zone-II,Completed,AP01LH0034,D03381,Penukonda,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,51.0,6,0.6
85,AP_DAM_WRIS_AP01MH0128,Chagallu Barrage Dam,dam,1,103,67,,,21.43,291.5,,,,,,9712.0,,,,Pennar,TE + PG,Seismic Zone-II,Under Construction,AP01MH0128,D03391,Tadpatri,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,,6,0.6
