dataset,source_name,normalized_name,source_code,parameter,latitude,longitude,row_count
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBC,sc ba ap pbc,No,RES_HGH,16.33326,80.62554,64364
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBC,sc ba ap pbc,No,RES_WLEV,16.33326,80.62554,2629
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBD,sc ba ap pbd,No,RES_HGH,16.31868,80.63327,104639
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBD,sc ba ap pbd,No,RES_WLEV,16.31868,80.63327,4274
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBE,sc ba ap pbe,No,RES_HGH,16.51174,80.60781,73033
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBE,sc ba ap pbe,No,RES_WLEV,16.51174,80.60781,2984
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBE1,sc ba ap pbe1,No,RES_HGH,16.51841,80.6239,30627
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBE1,sc ba ap pbe1,No,RES_WLEV,16.51841,80.6239,1250
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBE2,sc ba ap pbe2,No,RES_HGH,16.48234,80.66754,31362
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBE2,sc ba ap pbe2,No,RES_WLEV,16.48234,80.66754,1280
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBJ,sc ba ap pbj,No,RES_HGH,16.24176,80.5751,14361
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBJ,sc ba ap pbj,No,RES_WLEV,16.24176,80.5751,587
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBK,sc ba ap pbk,No,RES_HGH,16.39366,80.6311,13089
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBK,sc ba ap pbk,No,RES_WLEV,16.39366,80.6311,536
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBN,sc ba ap pbn,No,RES_WLEV,15.97249,80.39792,4336
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBN,sc ba ap pbn,No,RES_HGH,15.97249,80.39792,106158
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBR,sc ba ap pbr,No,RES_HGH,16.5162,80.63053,24255
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBR,sc ba ap pbr,No,RES_WLEV,16.5162,80.63053,990
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBW,sc ba ap pbw,No,RES_HGH,16.50021,80.60178,39550
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBW,sc ba ap pbw,No,RES_WLEV,16.50021,80.60178,1615
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PKC,sc ba ap pkc,No,RES_HGH,16.11858,80.47669,50975
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PKC,sc ba ap pkc,No,RES_WLEV,16.11858,80.47669,2084
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-SB,sc ba ap sb,No,RES_HGH,16.93624,81.75209,82575
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-SB,sc ba ap sb,No,RES_WLEV,16.93624,81.75209,3373
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-SBE,sc ba ap sbe,No,RES_HGH,16.93827,81.78422,108175
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-SBE,sc ba ap sbe,No,RES_WLEV,16.93827,81.78422,4415
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-SBW,sc ba ap sbw,No,RES_HGH,16.93521,81.72621,81984
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-SBW,sc ba ap sbw,No,RES_WLEV,16.93521,81.72621,3347
