dataset,source_name,source_code,latitude,longitude,candidate_asset_id,candidate_asset_code,candidate_asset_name,match_score,alias_score,river_score,distance_km,method,recovery_status
ap_river_discharge_2001_2025.csv,Lazzabanda drain  Pedana,81.1425,28.0,16.2725,126,AP_DAM_WRIS_AP01HH0023,Guntawada Main Dam,0.4324,0.4324,0.1379,,REVIEW,STILL_UNMATCHED
ap_river_discharge_2001_2025.csv,Muniyeru anicut  Polampalli,80.19111111,28.0,17.00111111,151,AP_DAM_WRIS_AP01LH0041,Kaleti Vagu Reservoir,0.5185,0.5185,0.1935,,REVIEW,STILL_UNMATCHED
ap_river_discharge_2001_2025.csv,NAGARI,79.59861111,28.0,13.31694444,135,AP_DAM_WRIS_D06327,Pulichintala,0.625,0.625,0.3077,,REVIEW,STILL_UNMATCHED
ap_river_discharge_2001_2025.csv,NAGARI,,28.0,,135,AP_DAM_WRIS_D06327,Pulichintala,0.625,0.625,0.3077,,REVIEW,STILL_UNMATCHED
ap_river_discharge_2026_2030.csv,NARASINGARAYANIPETA,79.21111111,28.0,13.18,114,AP_DAM_WRIS_AP01LH0116,Sankarayalapeta Dam,0.5882,0.5882,0.0,,REVIEW,STILL_UNMATCHED
ap_river_velocity_discharge_2021_2025.csv,NAGARI,79.59861111,28.0,13.31694444,135,AP_DAM_WRIS_D06327,Pulichintala,0.625,0.625,0.3077,,REVIEW,STILL_UNMATCHED
ap_river_velocity_discharge_2021_2025.csv,NARASINGARAYANIPETA,79.21111111,28.0,13.18,114,AP_DAM_WRIS_AP01LH0116,Sankarayalapeta Dam,0.5882,0.5882,0.0,,REVIEW,STILL_UNMATCHED
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBB,No,16.5095,80.62135,173,AP_DAM_WRIS_AP01LH0119,Swamy Tank,0.4211,0.4211,0.1111,,REVIEW,STILL_UNMATCHED
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBB,No,16.5095,80.62135,173,AP_DAM_WRIS_AP01LH0119,Swamy Tank,0.4211,0.4211,0.1111,,REVIEW,STILL_UNMATCHED
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBC,No,16.33326,80.62554,173,AP_DAM_WRIS_AP01LH0119,Swamy Tank,0.4211,0.4211,0.1111,,REVIEW,STILL_UNMATCHED
