asset_type,field,source_table,source_column,role
dam,asset__updated_at,assets,updated_at,FEATURE
dam,dam_barrage_feature_snapshots__asset_code,dam_barrage_feature_snapshots,asset_code,IDENTIFIER
dam,dam_barrage_feature_snapshots__asset_name,dam_barrage_feature_snapshots,asset_name,FEATURE
dam,dam_barrage_feature_snapshots__asset_type,dam_barrage_feature_snapshots,asset_type,FEATURE
dam,dam_barrage_feature_snapshots__feature_version,dam_barrage_feature_snapshots,feature_version,FEATURE
dam,dam_barrage_feature_snapshots__static_features,dam_barrage_feature_snapshots,static_features,FEATURE
dam,dam_barrage_feature_snapshots__hydrology_features,dam_barrage_feature_snapshots,hydrology_features,FEATURE
dam,dam_barrage_feature_snapshots__has_direct_hydrology,dam_barrage_feature_snapshots,has_direct_hydrology,FEATURE
dam,dam_barrage_feature_snapshots__generated_at,dam_barrage_feature_snapshots,generated_at,FEATURE
dam,asset_engineering_evidence_normalized__asset_code,asset_engineering_evidence_normalized,asset_code,IDENTIFIER
dam,asset_engineering_evidence_normalized__asset_name,asset_engineering_evidence_normalized,asset_name,FEATURE
dam,asset_engineering_evidence_normalized__asset_type,asset_engineering_evidence_normalized,asset_type,FEATURE
dam,asset_engineering_evidence_normalized__document_id,asset_engineering_evidence_normalized,document_id,FEATURE
dam,asset_engineering_evidence_normalized__source_id,asset_engineering_evidence_normalized,source_id,FEATURE
dam,asset_engineering_evidence_normalized__evidence_id,asset_engineering_evidence_normalized,evidence_id,FEATURE
dam,asset_engineering_evidence_normalized__completion_year,asset_engineering_evidence_normalized,completion_year,FEATURE
dam,asset_engineering_evidence_normalized__commencement_year,asset_engineering_evidence_normalized,commencement_year,FEATURE
dam,asset_engineering_evidence_normalized__dam_height_m,asset_engineering_evidence_normalized,dam_height_m,FEATURE
dam,asset_engineering_evidence_normalized__dam_length_m,asset_engineering_evidence_normalized,dam_length_m,FEATURE
dam,asset_engineering_evidence_normalized__dam_volume_source_value,asset_engineering_evidence_normalized,dam_volume_source_value,FEATURE
dam,asset_engineering_evidence_normalized__gate_count,asset_engineering_evidence_normalized,gate_count,FEATURE
