osm_way_id,asset_code,anchor_asset_code,source_name,display_name,normalized_name,structure_key,bridge_type,bridge_tag,highway,railway,ref,length_m_derived,width_m_reported,lanes_reported,material_reported,start_year_reported,latitude,longitude,is_named,identity_status,geometry_source,source_dataset,source_relation,render_width_m,render_width_basis,verified_pier_count,pier_count_status,digital_twin_strategy,rendering_estimated
828817677,AP_BR_OSM_W828817677,,,Unnamed Road Bridge - OSM 828817677,,OSM_WAY::828817677,ROAD,yes,unclassified,,,50.14,,,,,14.362753433333333,77.59166255000001,False,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,7.0,VISUALIZATION_ESTIMATE,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
828846873,AP_BR_OSM_W828846873,,,Unnamed Road Bridge - OSM 828846873,,OSM_WAY::828846873,ROAD,yes,track,,,49.8,,,,,14.3817924,77.48306339999999,False,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,7.0,VISUALIZATION_ESTIMATE,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
828850964,AP_BR_OSM_W828850964,,,Unnamed Road Bridge - OSM 828850964,,OSM_WAY::828850964,ROAD,yes,track,,,30.36,,,,,14.40400445,77.49518685000001,False,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,7.0,VISUALIZATION_ESTIMATE,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
828928616,AP_BR_OSM_W828928616,,,Unnamed Road Bridge - OSM 828928616,,REF::mdr0155::ROAD,ROAD,yes,secondary,,MDR0155,113.43,,,,,16.67965425,80.95704409999999,False,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,7.0,VISUALIZATION_ESTIMATE,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
828928617,AP_BR_OSM_W828928617,,,Unnamed Road Bridge - OSM 828928617,,OSM_WAY::828928617,ROAD,yes,tertiary,,,108.84,,,,,16.6910524,80.97227745,False,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,7.0,VISUALIZATION_ESTIMATE,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
828932765,AP_BR_OSM_W828932765,,,Unnamed Road Bridge - OSM 828932765,,OSM_WAY::828932765,ROAD,yes,residential,,,15.91,,,,,14.6768477,77.578773,False,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,7.0,VISUALIZATION_ESTIMATE,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
829050708,AP_BR_OSM_W829050708,,,Unnamed Road Bridge - OSM 829050708,,OSM_WAY::829050708,ROAD,yes,unclassified,,,59.64,,,,,14.43048755,78.6371857,False,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,7.0,VISUALIZATION_ESTIMATE,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
829054974,AP_BR_OSM_W829054974,,,Unnamed Road Bridge - OSM 829054974,,OSM_WAY::829054974,ROAD,yes,tertiary,,,15.02,,,,,14.854602499999999,77.265636,False,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,7.0,VISUALIZATION_ESTIMATE,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
829070610,AP_BR_OSM_W829070610,,Palamaner Bypass,Palamaner Bypass,palamaner bypass,NAME::palamaner bypass::ROAD,ROAD,yes,trunk,,NH42;NH69,48.11,,3.0,,,13.20015455,78.7216061,True,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,10.5,ESTIMATED_FROM_LANES_FOR_RENDERING,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
829070614,AP_BR_OSM_W829070614,,Old Madras Road,Old Madras Road,old madras road,NAME::old madras road::ROAD,ROAD,yes,trunk,,NH69,48.73,,3.0,,,13.195355500000002,78.70431199999999,True,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,10.5,ESTIMATED_FROM_LANES_FOR_RENDERING,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
