"priority","asset_code","name","asset_type","district","identity_status","reality_pack","imagery_status","model_status"
"4","AP_DAM_WRIS_AP01HH0023","Guntawada Main Dam","dam","Visakhapatnam","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01HH0023","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0096","Haresamudram Big Dam","dam","Anantapur","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0096","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01_0131","Hiramandalam Dam","dam","Srikakulam","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01_0131","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0054","Itugulapadu Tank","dam","YSR","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0054","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0097","Jajigedda Dam","dam","Visakhapatnam","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0097","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0051","Jalakanur Dam","dam","Kurnool","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0051","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01HH0064","Jalleru Dam","dam","West Godavari","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01HH0064","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01HH0132","Jhanjhavathi / Janjavathi Dam","dam","Vizianagaram","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01HH0132","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_D06395","Kakarla Dam","dam","Prakasam","CANDIDATE","data\reality_twin\AP_DAM_WRIS_D06395","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01MH0015","Kalangi Dam","dam","Chittoor","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0015","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0041","Kaleti Vagu Reservoir","dam","YSR","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0041","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_D06095","Kalinga Dal Dam","dam","Srikakulam","CANDIDATE","data\reality_twin\AP_DAM_WRIS_D06095","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_NWDP_AP01HH0040","Kalyani Dam","dam","Tirupati","VERIFIED","data\reality_twin\AP_DAM_NWDP_AP01HH0040","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0098","Kampasamudram New Dam","dam","Sri Potti Sriramulu Nellore","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0098","NOT_STARTED","NOT_AUDITED"
