asset_id,asset_code,asset_name,asset_type,document_id,source_id,evidence_id,completion_year,commencement_year,dam_height_m,dam_length_m,dam_volume_source_value,gate_count,gate_size_raw,gate_type,design_flood_source_value,spillway_capacity_source_value,spillway_level_m,spillway_length_m,spillway_type,river_name,dam_type,seismic_zone,registry_status,nrld_no,structure_code,nearest_city,operating_agency,age_years,engineering_fields_available,engineering_completeness,has_direct_hydrology,authority_level,origin,quality_flag,confidence_score,updated_at
83,AP_DAM_WRIS_AP01HH0019,Buggavagu Dam,dam,1,103,65,1961,,31.0,2576.0,1983.0,9,9.144 x 1.8288,OT,,567.0,,,,Buggavagu,TE,Seismic Zone-II,Completed,AP01HH0019,D03378,Guruzala,Irrg.& CAD Dept.,65.0,8,0.8,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
84,AP_DAM_WRIS_AP01LH0034,Bukkapatnam Dam,dam,1,103,66,1975,,14.0,6017.0,,,,,,567.0,,,,,TE,Seismic Zone-II,Completed,AP01LH0034,D03381,Penukonda,Irrg.& CAD Dept.,51.0,6,0.6,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
85,AP_DAM_WRIS_AP01MH0128,Chagallu Barrage Dam,dam,1,103,67,,,21.43,291.5,,,,,,9712.0,,,,Pennar,TE + PG,Seismic Zone-II,Under Construction,AP01MH0128,D03391,Tadpatri,Irrg.& CAD Dept.,,6,0.6,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
86,AP_DAM_WRIS_AP01LH0091,Chintakuntavagu Dam,dam,1,103,68,,,13.0,285.0,,,,,,66.0,,,,Local Stream,TE,Seismic Zone-II,,AP01LH0091,D03411,Jammalamadugu,Irrg.& CAD Dept.,,6,0.6,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
87,AP_DAM_WRIS_AP01LH0125,Dharmavaram Dam,dam,1,103,69,,,11.0,6393.0,,,,,,27402.0,,,,,TE,Seismic Zone-II,,AP01LH0125,D03453,Dharmavaram,Irrg.& CAD Dept.,,5,0.5,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
88,AP_DAM_WRIS_AP01HH0057,Donkarai ( S.H.E.S),dam,1,103,70,1983,,71.0,1398.0,2038.0,12,12.4968 x 12.4968,RD,7850.0,15593.0,303.88651652,598.7,,Sileru,PG,Seismic Zone-II,Completed,AP01HH0057,D03456,Malakanagiri,APGENCO,43.0,10,1.0,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
89,AP_DAM_WRIS_TL47HH0060,Forebay Lower Sileru ( S.H.E.S) Dam,dam,1,103,71,1978,,67.0,548.0,2669.0,,,OT,167.0,,930.0,,,Sileru,TE,Seismic Zone-II,Completed,TL47HH0060,D03466,Bhadrachalam,APGENCO,48.0,8,0.8,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
90,AP_DAM_WRIS_AP01MH0092,Gandicheruvu (Dist-Prakasam) Dam,dam,1,103,72,,,26.69,240.0,,,,OT,,255.0,,,,,TE,Seismic Zone-II,,AP01MH0092,D03474,Markapur,Irrg.& CAD Dept.,,5,0.5,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
91,AP_DAM_WRIS_AP01LH0104,Panthulu Cheruvu Dam,dam,1,103,73,,,12.0,923.0,,,,LG,,140.0,,,,,TE,Seismic Zone-II,,AP01LH0104,D03914,Kadiri,Irrg.& CAD Dept.,,5,0.5,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
92,AP_DAM_WRIS_AP01LH0106,Paya Cheruvu Dam,dam,1,103,74,,,14.0,200.0,,,,,,,,,,,TE,Seismic Zone-II,,AP01LH0106,D03922,Punganuru,Irrg.& CAD Dept.,,4,0.4,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
