asset_id,osm_way_id,structure_key,bridge_type,actual_length_m,reported_width_m,render_width_m,width_basis,latitude,longitude,actual_geometry,geometry_source,lanes_reported,material_reported,verified_pier_count,pier_count_status,rendering_strategy,rendering_estimated,profile_version,updated_at
4762,680576295,OSM_WAY::680576295,ROAD,8.62,,7.0,VISUALIZATION_ESTIMATE,15.990968800000001,80.6460784,"{""type"": ""LineString"", ""coordinates"": [[80.646067, 15.991006], [80.6460898, 15.9909316]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4763,680576782,OSM_WAY::680576782,ROAD,21.65,,7.0,VISUALIZATION_ESTIMATE,16.5042382,81.73748635,"{""type"": ""LineString"", ""coordinates"": [[81.7374431, 16.5041501], [81.7375296, 16.5043263]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4764,680576957,REF::mdr075::ROAD,ROAD,36.01,,7.0,VISUALIZATION_ESTIMATE,16.3524737,80.7222117,"{""type"": ""LineString"", ""coordinates"": [[80.7223747, 16.3525156], [80.7220487, 16.3524318]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4765,680577473,OSM_WAY::680577473,ROAD,16.92,,7.0,VISUALIZATION_ESTIMATE,16.6687309,82.1398415,"{""type"": ""LineString"", ""coordinates"": [[82.1398348, 16.6688067], [82.1398482, 16.6686551]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4766,680579180,NAME::machavaram alluru nizampatnam road::ROAD,ROAD,36.21,,7.0,VISUALIZATION_ESTIMATE,15.9019762,80.66263565,"{""type"": ""LineString"", ""coordinates"": [[80.6627946, 15.9019201], [80.6624767, 15.9020323]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4767,680579319,OSM_WAY::680579319,ROAD,33.63,,7.0,VISUALIZATION_ESTIMATE,15.32003805,79.79791220000001,"{""type"": ""LineString"", ""coordinates"": [[79.7980624, 15.3199947], [79.797762, 15.3200814]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4768,680579438,NAME::chebrolu undi road::ROAD,ROAD,28.12,,7.0,VISUALIZATION_ESTIMATE,16.58567185,81.4687018,"{""type"": ""LineString"", ""coordinates"": [[81.4685704, 16.5856603], [81.4688332, 16.5856834]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4769,680579604,OSM_WAY::680579604,ROAD,10.48,,7.0,VISUALIZATION_ESTIMATE,16.543014550000002,81.510327,"{""type"": ""LineString"", ""coordinates"": [[81.5103404, 16.5429692], [81.5103136, 16.5430599]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4770,680579608,NAME::bhimavaram gudivada road::ROAD,ROAD,16.6,,7.0,ESTIMATED_FROM_LANES_FOR_RENDERING,16.5428131,81.50953050000001,"{""type"": ""LineString"", ""coordinates"": [[81.5094667, 16.5428559], [81.5095943, 16.5427703]]}",OPENSTREETMAP,2,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4771,680579643,OSM_WAY::680579643,ROAD,23.69,,7.0,VISUALIZATION_ESTIMATE,15.9226743,80.04200465,"{""type"": ""LineString"", ""coordinates"": [[80.0420938, 15.9227375], [80.0419155, 15.9226111]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
